,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,mentality_vision,passing,dribbling,attacking_crossing,attacking_volleys,attacking_short_passing,attacking_finishing,skill_long_passing,skill_dribbling,skill_ball_control,skill_curve,skill_fk_accuracy,movement_reactions,movement_acceleration,power_stamina,mentality_positioning,mentality_composure,mentality_penalties,height_cm
16506,S. Ono,"CAM, CM",58,58,2850451.813201148,800.0,41,2022.0,65,62,59,56,49,64,56,61,60,64,58,60,38,30,24,70,72,58,175
12245,S. Nakamura,"CAM, CF, RW",63,63,2850451.813201148,800.0,43,2022.0,70,74,62,77,75,70,60,72,60,67,87,90,53,32,32,68,78,81,178
2537,G. Charbonnier,"ST, CAM",73,73,2500000.0,7000.0,32,2023.0,78,68,72,57,71,74,76,59,74,79,60,59,76,30,56,79,78,72,188
10272,Y. Takahagi,"CM, CDM, CAM",65,65,325000.0,3000.0,34,2022.0,65,66,64,64,59,67,56,68,63,65,63,64,60,34,61,71,68,60,183
3106,C. Gentner,"CM, CDM, CAM",72,72,950000.0,9000.0,35,2022.0,75,72,66,68,73,75,69,74,67,71,70,55,68,33,65,74,73,64,189
6663,F. Starzyński,"CAM, CM",68,68,1200000.0,4000.0,30,2023.0,74,72,71,72,69,72,64,70,71,72,72,71,68,34,66,67,71,74,184
5509,J. Morávek,"CM, CAM",69,69,1100000.0,11000.0,31,2022.0,72,73,72,72,74,77,66,73,73,72,64,67,68,40,34,71,69,69,180
1470,M. Noble,"CM, CDM, CAM",75,75,2600000.0,55000.0,34,2022.0,78,76,73,71,68,78,60,79,74,76,71,67,74,44,68,64,77,92,177
9810,Y. Okubo,"ST, CAM, LW",65,65,240000.0,2000.0,39,2022.0,65,63,67,57,69,65,69,60,65,69,67,64,56,36,41,77,69,74,170
2591,Recio,"CM, CDM, CAM",73,73,2900000.0,11000.0,30,2022.0,74,72,70,64,55,74,58,72,70,73,76,71,75,44,73,75,69,69,183
3177,Víctor Vázquez,"CAM, CM",72,72,1100000.0,7000.0,34,2021.0,78,76,73,71,69,79,66,73,73,76,78,73,70,38,46,74,76,71,175
2465,O. Toivonen,"CAM, ST",73,73,1400000.0,8000.0,34,2022.0,78,75,72,72,74,77,77,72,71,77,73,75,77,36,65,78,77,71,192
1148,Cesc Fàbregas,"CM, CAM, CDM",76,76,3500000.0,44000.0,34,2022.0,86,81,75,74,68,83,63,82,75,80,78,79,76,42,41,68,84,78,179
393,Raúl García,"ST, CAM",80,80,10500000.0,36000.0,34,2022.0,83,81,78,80,73,83,80,82,80,85,78,68,83,45,75,85,85,85,184
1465,A. D'Alessandro,"CAM, RM",75,75,2850451.813201148,900.0,40,2021.0,85,80,75,79,68,80,69,77,77,80,82,80,73,45,30,73,78,80,174
5531,S. de Jong,"CAM, CM, ST",69,69,1100000.0,5000.0,32,2022.0,74,68,67,63,77,69,74,66,66,72,66,70,74,41,70,71,71,72,185
7479,P. Toranzo,"CAM, CM",67,67,325000.0,3000.0,39,2021.0,74,73,68,75,62,72,61,70,70,71,76,75,61,49,34,63,59,63,178
11490,Leonardo Freijão,"CDM, CM, CAM",64,64,575000.0,3000.0,25,2024.0,41,55,43,57,22,65,38,57,24,55,30,42,69,52,64,35,53,50,176
2156,D. Kreilach,"ST, CAM, CDM",74,74,3400000.0,9000.0,32,2022.0,72,70,72,56,70,75,75,74,73,74,70,76,79,48,91,76,72,64,186
9179,Estevãtinho,CAM,66,66,850000.0,7000.0,29,2024.0,78,73,65,74,49,73,54,72,63,71,63,68,52,42,49,64,62,44,178
3853,F. Higuaín,CAM,71,71,600000.0,4000.0,36,2021.0,75,74,70,71,71,76,68,72,71,74,79,77,72,48,34,76,76,68,173
4719,G. Hairemans,"RM, CAM, CM",70,70,1600000.0,9000.0,29,2022.0,75,75,70,76,62,74,61,75,70,74,75,73,68,50,73,71,74,71,183
7625,M. Jonckheere,"CM, CAM",67,67,825000.0,5000.0,31,2022.0,69,69,68,67,63,71,59,70,65,70,60,60,66,52,52,68,69,55,180
522,Montoro,"CDM, CM, CAM",79,79,8500000.0,26000.0,33,2022.0,78,75,72,54,67,85,54,83,72,81,50,71,72,44,66,66,65,62,181
3591,Fábio Melitinho,"CAM, LM",72,72,2600000.0,16000.0,25,2024.0,75,75,75,73,73,74,72,75,74,73,83,75,76,40,69,74,83,72,170
7114,K. Yamamura,"CB, CAM",68,68,825000.0,5000.0,31,2022.0,65,66,64,66,63,68,67,67,68,69,67,57,65,47,78,66,60,47,186
7350,M. Cantera,"CAM, CF, CM",68,68,1200000.0,550.0,28,2022.0,70,67,72,58,72,69,65,76,73,73,56,59,71,51,55,68,78,66,184
15567,Y. Oukili,"CM, CAM",60,73,600000.0,950.0,20,2023.0,56,59,63,49,50,66,53,63,65,67,51,50,55,49,59,58,60,36,184
10107,S. Coopman,"CAM, RM, CM",65,68,925000.0,6000.0,26,2022.0,71,68,68,68,70,71,59,66,69,68,56,53,58,46,50,64,67,52,183
5494,S. Kljestan,"CM, CAM",69,69,550000.0,3000.0,35,2021.0,74,73,66,72,64,74,63,70,66,70,70,70,68,45,66,68,71,67,185
5729,M. Stendera,"CM, CAM, CDM",69,72,1800000.0,9000.0,25,2022.0,71,71,72,70,66,71,70,69,70,71,83,70,70,55,74,67,71,60,173
723,H. Vanaken,"CM, CAM",78,78,14000000.0,29000.0,28,2025.0,84,79,75,74,79,82,80,76,77,82,77,75,78,38,88,82,86,80,195
10075,R. Klingenburg,"CM, CAM",65,66,825000.0,2000.0,27,2023.0,66,61,66,54,63,65,59,65,66,68,43,40,64,52,73,63,62,56,190
5177,Martin Cordeia,"CAM, CM",70,70,1800000.0,14000.0,25,2024.0,75,74,70,74,70,74,64,75,67,75,78,72,71,49,71,66,78,75,181
6502,Edu Bedia,"CM, CAM",68,68,950000.0,1000.0,32,2022.0,72,70,68,61,52,72,60,71,68,71,71,70,62,49,83,68,66,60,184
4748,Josué,"CAM, RM",70,70,1500000.0,6000.0,30,2023.0,79,73,70,72,67,71,68,72,70,73,74,73,66,48,53,68,69,71,174
1640,F. Vázquez,"CM, CAM, LM",75,75,4400000.0,29000.0,32,2023.0,80,77,76,73,79,78,79,75,81,82,79,68,69,46,61,75,77,67,187
2606,R. Holzhauser,"CAM, CM",73,73,3100000.0,12000.0,28,2023.0,81,80,72,83,72,76,79,80,73,78,87,82,68,42,73,72,82,82,193
3834,B. Džemaili,"CDM, CM, CAM",71,71,525000.0,8000.0,35,2022.0,73,72,69,71,75,72,65,69,70,69,76,70,72,47,70,72,69,68,180
4457,R. Amaral,CAM,71,75,2700000.0,500.0,24,2021.0,74,73,73,66,69,74,69,79,77,73,75,78,67,57,29,64,62,64,178
5834,F. Avenatti,"ST, CAM",69,69,1400000.0,9000.0,28,2022.0,71,66,66,43,64,74,68,69,69,71,65,67,67,48,70,71,62,62,197
