,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,mentality_vision,passing,dribbling,defending,attacking_crossing,attacking_volleys,attacking_short_passing,skill_long_passing,skill_dribbling,skill_ball_control,skill_curve,skill_fk_accuracy,movement_reactions,power_stamina,mentality_positioning,mentality_composure,mentality_penalties,height_cm
4184,L. Vásquez,"CDM, CM",71,71,1600000.0,2000.0,29,2021.0,67,60,60,66,37,38,71,71,59,70,32,32,74,67,56,58,37,186
16506,S. Ono,"CAM, CM",58,58,2850451.813201148,800.0,41,2022.0,65,62,59,38,56,49,64,61,60,64,58,60,38,24,70,72,58,175
11284,S. Caldwell,"CDM, CM",64,64,500000.0,2000.0,30,2021.0,60,59,61,60,50,43,65,63,59,62,50,40,62,65,51,67,49,173
7494,T. Sparv,"CDM, CM",67,67,350000.0,500.0,34,2021.0,62,61,57,66,54,39,65,63,52,65,60,58,67,62,58,68,42,194
7549,A. Auassar,"CDM, CM",67,67,350000.0,4000.0,34,2022.0,65,63,59,63,56,33,65,66,61,65,65,65,61,67,60,64,64,186
19100,J. Russell,"CM, CDM",49,49,15000.0,500.0,36,2021.0,56,53,48,51,51,40,52,50,43,50,58,56,50,30,52,55,57,172
14406,C. Gauseth,"CM, CDM",61,61,100000.0,650.0,37,2021.0,60,57,58,50,44,43,64,60,56,69,47,42,67,52,67,65,68,189
11535,H. Otani,"CDM, CM",64,64,110000.0,2000.0,36,2022.0,60,58,49,64,46,28,67,65,39,60,31,33,60,50,46,56,43,174
11131,J. Flum,"CDM, CM",64,64,300000.0,1000.0,33,2024.0,64,61,59,60,54,52,66,62,59,62,56,41,67,62,57,71,57,189
11167,Ryang Yong Gi,"CM, CF, LM",64,64,180000.0,900.0,39,2022.0,68,67,65,47,66,45,68,64,66,66,62,69,64,60,65,58,49,173
12249,Y. Abe,"CDM, CM, CB",63,63,90000.0,2000.0,39,2022.0,66,69,62,63,68,66,70,68,60,68,71,70,51,32,48,75,70,178
