,Name ,player_positions,overall,potential,age,physic,preferred_foot,height_cm,club_contract_valid_until,value_eur,power_jumping,power_strength,defending,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,mentality_interceptions,mentality_aggression,mentality_composure,passing,skill_long_passing,attacking_heading_accuracy,power_long_shots
11952,R. Montero,CB,64,64,30,65,Right,182,2021.0,475000.0,30,75,66,65,68,61,69,64,68,50,49,66,32
11080,K. Árnason,CB,64,64,38,63,Right,191,2031.0,2850451.813201148,45,79,65,70,64,55,65,71,65,53,60,65,50
7558,R. van Eijden,CB,67,67,33,77,Right,188,2022.0,475000.0,72,86,67,69,67,63,67,68,61,47,48,68,23
11057,P. Clarke,CB,64,64,39,79,Right,183,2022.0,100000.0,76,85,63,66,60,59,63,74,65,46,51,67,49
8687,P. Huntington,CB,66,66,33,70,Right,191,2022.0,400000.0,71,84,67,72,63,62,65,80,53,38,53,74,21
7478,P. Da Silva,CB,67,67,41,71,Right,180,2021.0,2850451.813201148,77,83,67,70,67,64,64,70,70,46,50,65,36
6661,F. Brillant,CB,68,68,36,72,Right,191,2021.0,220000.0,76,73,70,75,69,68,66,70,63,49,52,69,25
4690,Fontàs,CB,70,70,31,72,Left,185,2022.0,1100000.0,42,81,71,70,72,71,72,74,67,66,70,69,47
7474,M. Marić,CB,67,67,37,74,Right,188,2022.0,180000.0,37,82,69,70,69,60,71,72,62,49,55,70,57
11461,V. Moren,CB,64,64,30,65,Right,188,2022.0,475000.0,32,70,68,69,66,65,70,67,68,43,54,65,21
5623,Bruno,CB,69,69,31,75,Right,185,2022.0,950000.0,62,83,70,69,70,68,69,74,61,44,53,76,22
2682,M. Pavlović,CB,73,73,31,81,Right,196,2023.0,2100000.0,77,90,72,73,73,70,67,79,66,51,55,76,58
13399,T. Midzierski,CB,62,62,36,77,Right,190,2022.0,70000.0,72,84,62,63,62,61,62,72,54,38,44,63,29
4992,Philipe Sampaio,CB,70,74,26,82,Right,191,2024.0,2000000.0,65,91,71,72,70,69,69,75,63,47,58,72,35
7492,D. Moor,CB,67,67,37,69,Right,183,2026.0,180000.0,73,77,66,66,66,65,66,70,69,59,67,70,38
13457,B. Gartland,CB,62,62,34,72,Right,188,2021.0,130000.0,54,85,61,61,62,58,59,68,53,42,44,63,27
18658,M. McChrystal,CB,52,52,37,55,Left,185,2021.0,15000.0,51,68,52,51,54,49,52,54,54,40,41,52,26
9817,R. Wood,CB,65,65,35,75,Left,191,2022.0,190000.0,65,85,65,66,65,64,65,66,64,46,43,67,24
7635,L. Lacroix,CB,67,68,29,76,Right,197,2022.0,950000.0,66,89,67,67,68,67,66,61,67,58,66,67,51
4593,P. Jagielka,CB,70,70,38,62,Right,180,2021.0,275000.0,66,74,72,73,72,69,71,73,74,55,68,73,52
3915,V. Wormgoor,CB,71,71,32,81,Right,188,2021.0,1200000.0,72,90,70,70,71,65,71,79,66,56,68,72,22
14405,J. McNulty,CB,61,61,36,59,Left,183,2022.0,60000.0,63,71,60,61,62,59,58,60,63,54,55,59,43
3913,Alcalá,CB,71,71,32,74,Right,196,2023.0,1200000.0,65,92,71,71,72,67,69,71,69,58,64,73,68
10027,B. Aloé,CB,65,68,27,69,Right,184,2022.0,800000.0,70,73,67,69,70,68,65,65,56,39,44,59,29
9876,Juanan,CB,65,65,34,76,Left,192,2022.0,230000.0,35,87,65,68,64,58,64,70,64,47,60,71,35
9664,A. Șeroni,CB,66,66,34,81,Left,195,2022.0,275000.0,65,92,65,65,66,69,60,80,53,42,45,65,35
10312,C. Schoissengeyr,CB,65,67,26,80,Right,195,2022.0,775000.0,64,93,65,65,67,61,58,68,55,41,45,76,17
5632,N. Dussenne,CB,69,70,29,73,Right,192,2023.0,1300000.0,43,78,71,74,68,65,72,74,71,50,59,73,21
3294,P. Bauer,CB,72,74,28,75,Right,192,2022.0,2400000.0,44,92,74,76,73,72,71,74,63,53,61,76,43
728,J. Vestergaard,CB,78,79,28,82,Right,199,2024.0,13500000.0,69,90,79,77,80,75,78,85,72,62,77,85,47
1147,Dante,CB,76,76,37,76,Left,189,2022.0,1300000.0,67,85,78,78,79,78,76,74,77,67,76,78,53
5466,F. Coloccini,CB,69,69,39,64,Right,184,2021.0,250000.0,73,74,71,74,69,63,69,75,71,59,68,75,67
6454,U. Demirok,CB,68,68,32,72,Right,185,2023.0,775000.0,39,83,70,69,70,69,69,68,73,55,68,72,30
292,José Fonte,CB,81,81,37,77,Right,191,2022.0,4600000.0,74,84,83,84,83,78,82,83,79,62,69,85,43
1973,G. Cahill,CB,74,74,35,74,Right,193,2022.0,1100000.0,73,81,76,77,77,74,74,81,75,51,60,79,64
3847,Rolando,CB,71,71,35,69,Right,189,2022.0,500000.0,66,77,72,72,73,71,71,75,73,56,65,74,44
6620,S. Vergini,CB,68,68,32,72,Right,191,2021.0,775000.0,33,82,69,66,71,69,70,67,65,61,63,66,38
10083,B. Dabanlı,CB,65,65,31,80,Right,190,2022.0,500000.0,55,92,63,60,66,64,60,70,64,54,61,67,26
3875,A. Wilkinson,CB,71,71,36,82,Right,187,2022.0,325000.0,78,86,71,70,74,69,69,75,61,54,59,68,49
6764,L. Lollo,CB,68,68,34,73,Right,184,2023.0,400000.0,78,75,69,72,70,68,63,80,67,41,32,67,25
7499,R. Shawcross,CB,67,67,33,76,Right,191,2021.0,475000.0,66,83,66,65,64,65,66,78,64,47,63,72,28
6571,M. Silva,CB,68,68,32,80,Right,185,2021.0,775000.0,87,90,65,65,64,60,68,78,55,50,58,71,35
4274,Unai Bilbao,CB,71,74,27,75,Left,192,2022.0,2100000.0,71,82,72,70,73,70,72,70,54,56,61,74,46
4718,D. Batth,CB,70,70,30,83,Right,191,2022.0,1300000.0,75,90,70,70,68,69,72,79,51,42,53,75,18
2440,S. Dann,CB,73,73,34,65,Right,190,2022.0,1000000.0,68,77,77,78,76,75,75,72,70,48,58,79,32
7475,İ. Öztürk,CB,67,67,40,74,Right,186,2022.0,2850451.813201148,59,78,68,70,68,62,66,78,51,48,42,72,46
12249,Y. Abe,"CDM, CM, CB",63,63,39,58,Right,178,2022.0,90000.0,51,73,63,68,60,53,66,56,75,69,68,62,70
13374,M. Halsti,CB,62,62,37,67,Right,185,2021.0,70000.0,67,73,61,62,61,60,61,65,65,59,62,63,43
16514,S. McEleney,CB,58,58,30,73,Right,190,2021.0,170000.0,47,82,55,55,53,55,56,71,60,46,45,58,24
9809,D. Lewington,CB,65,65,37,76,Left,183,2022.0,130000.0,70,78,64,63,67,63,63,68,71,63,63,58,47
7148,R. González,CB,68,68,30,77,Right,183,2021.0,1000000.0,74,83,68,72,71,62,58,75,62,45,51,71,36
11084,M. Hughes,CB,64,64,34,75,Right,188,2022.0,190000.0,58,83,64,64,64,62,63,68,62,49,61,64,37
