,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,defending,passing,physic,attacking_volleys,skill_long_passing,movement_agility,power_shot_power,power_jumping,power_strength,mentality_aggression,mentality_interceptions,defending_standing_tackle,defending_sliding_tackle,height_cm
4184,L. Vásquez,"CDM, CM",71,71,1600000.0,2000.0,29,2021.0,66,60,75,38,71,30,59,69,79,74,70,68,60,186
11284,S. Caldwell,"CDM, CM",64,64,500000.0,2000.0,30,2021.0,60,59,70,43,63,58,64,53,72,73,61,64,61,173
7494,T. Sparv,"CDM, CM",67,67,350000.0,500.0,34,2021.0,66,61,68,39,63,48,68,31,73,74,66,65,60,194
2458,N. Şahin,CDM,73,73,2000000.0,14000.0,32,2022.0,70,77,66,77,78,63,80,72,66,60,69,71,68,180
7549,A. Auassar,"CDM, CM",67,67,350000.0,4000.0,34,2022.0,63,63,79,33,66,34,84,61,83,86,63,64,59,186
15283,N. Hoffmann,CDM,60,66,350000.0,1000.0,24,2022.0,61,44,72,19,51,54,43,60,77,68,58,65,61,194
19100,J. Russell,"CM, CDM",49,49,15000.0,500.0,36,2021.0,51,53,46,40,50,49,54,30,48,65,51,49,48,172
14406,C. Gauseth,"CM, CDM",61,61,100000.0,650.0,37,2021.0,50,57,75,43,60,34,64,81,81,86,55,56,54,189
11535,H. Otani,"CDM, CM",64,64,110000.0,2000.0,36,2022.0,64,58,57,28,65,35,51,43,61,61,72,60,55,174
11131,J. Flum,"CDM, CM",64,64,300000.0,1000.0,33,2024.0,60,61,69,52,62,48,74,51,77,61,65,60,59,189
12249,Y. Abe,"CDM, CM, CB",63,63,90000.0,2000.0,39,2022.0,63,69,58,66,68,55,65,51,73,56,66,60,53,178
4150,A. Godoy,"CDM, CM",71,71,1300000.0,5000.0,31,2021.0,64,64,75,31,74,61,73,66,73,84,68,63,62,183
526,Iborra,"CDM, CM",79,79,8500000.0,34000.0,33,2024.0,77,75,79,66,81,51,79,73,89,75,76,77,73,190
11075,G. Whelan,"CDM, CM",64,64,110000.0,2000.0,37,2023.0,65,64,58,59,64,58,64,35,67,73,64,66,65,180
5985,P. Erras,"CDM, CB",69,72,1600000.0,11000.0,26,2024.0,68,61,72,18,67,31,49,34,81,63,69,70,57,196
12397,M. Matras,"CDM, CB",63,63,400000.0,950.0,30,2022.0,61,55,80,32,60,29,61,62,89,77,65,59,51,193
