,Name ,overall,potential,passing,skill_long_passing,value_eur,wage_eur,age,height_cm,club_contract_valid_until,goalkeeping_diving,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
5,J. Oblak,91,93,83,40,112000000.0,130000.0,28,188,2023.0,87,78,90,90
7,M. Neuer,90,90,83,68,13500000.0,86000.0,35,193,2023.0,88,91,89,88
8,M. ter Stegen,90,92,82,63,99000000.0,250000.0,29,187,2025.0,88,88,88,90
12,T. Courtois,89,91,81,35,85500000.0,250000.0,29,199,2026.0,84,74,86,88
18,Ederson,89,91,81,66,94000000.0,200000.0,27,188,2026.0,87,93,88,88
20,Alisson,89,90,81,44,82000000.0,190000.0,28,191,2027.0,86,84,90,89
21,G. Donnarumma,89,93,81,34,119500000.0,110000.0,22,196,2026.0,91,79,85,90
26,K. Navas,88,88,80,37,15500000.0,130000.0,34,185,2024.0,89,75,87,89
31,H. Lloris,87,87,79,50,13500000.0,125000.0,34,188,2022.0,88,65,84,90
34,W. Szczęsny,87,87,79,36,42000000.0,105000.0,31,195,2024.0,86,73,87,88
48,S. Handanovič,86,86,78,40,7500000.0,78000.0,36,193,2022.0,81,65,92,87
54,K. Casteels,86,87,78,37,52000000.0,88000.0,29,197,2024.0,85,80,84,87
70,K. Schmeichel,85,85,77,46,9000000.0,115000.0,34,189,2023.0,84,80,83,90
73,Y. Sommer,85,85,77,31,26500000.0,40000.0,32,183,2023.0,79,84,86,86
77,P. Gulácsi,85,85,77,31,28500000.0,87000.0,31,191,2025.0,85,76,82,86
106,De Gea,84,84,76,43,28000000.0,120000.0,30,192,2023.0,86,76,79,87
113,E. Martínez,84,85,76,51,33500000.0,81000.0,28,195,2024.0,85,82,83,85
127,M. Maignan,84,89,76,46,49500000.0,45000.0,25,191,2026.0,83,85,84,86
143,Sergio Asenjo,83,83,75,39,18000000.0,37000.0,32,189,2022.0,85,78,81,83
152,L. Hrádecký,83,83,75,33,19000000.0,55000.0,31,192,2023.0,85,69,83,87
154,B. Leno,83,84,75,48,28000000.0,87000.0,29,190,2023.0,85,76,83,85
167,N. Pope,83,83,75,35,25000000.0,45000.0,29,199,2023.0,81,75,83,84
169,J. Pickford,83,85,75,56,33000000.0,83000.0,27,185,2024.0,83,87,80,86
194,É. Mendy,83,85,75,46,30000000.0,105000.0,29,197,2025.0,83,78,81,84
201,Ł. Fabiański,82,82,74,32,3400000.0,43000.0,36,190,2022.0,82,71,83,82
202,S. Sirigu,82,82,74,28,5000000.0,20000.0,34,192,2022.0,82,76,84,80
205,Rui Patrício,82,82,74,32,10000000.0,51000.0,33,190,2024.0,82,77,80,83
211,K. Trapp,82,82,74,12,20500000.0,31000.0,30,189,2024.0,82,79,82,84
216,A. Areola,82,84,74,37,26000000.0,75000.0,28,195,2022.0,85,76,80,85
221,O. Baumann,82,82,74,25,16000000.0,37000.0,31,187,2023.0,81,79,79,82
222,Neto,82,82,74,41,16000000.0,115000.0,31,190,2023.0,83,78,79,81
226,A. Lopes,82,83,74,31,23000000.0,60000.0,30,184,2023.0,84,70,80,86
238,Y. Bounou,82,82,74,44,20500000.0,29000.0,30,192,2024.0,82,76,81,84
243,P. Gollini,82,87,74,25,35000000.0,48000.0,26,194,2022.0,82,76,83,82
265,Raphaelinho Anjos,82,82,74,16,10000000.0,20000.0,33,190,2024.0,79,77,83,78
267,Unai Simón,82,86,74,37,34500000.0,24000.0,24,190,2025.0,82,76,85,84
282,D. Livaković,82,87,74,56,35000000.0,1000.0,26,187,2024.0,81,74,80,85
289,A. Consigli,81,81,73,27,4400000.0,32000.0,34,189,2022.0,81,72,80,83
290,S. Mandanda,81,81,73,36,2900000.0,24000.0,36,185,2024.0,80,78,81,81
295,Adán,81,81,73,43,4400000.0,14000.0,34,190,2022.0,78,78,83,80
304,Aitor,81,81,73,35,17000000.0,28000.0,30,182,2023.0,82,67,81,83
313,J. Cillessen,81,81,73,35,13000000.0,33000.0,32,185,2023.0,81,78,81,79
319,A. Marchesín,81,81,73,34,8500000.0,14000.0,33,188,2023.0,82,76,80,83
322,T. Vaclík,81,81,73,38,13000000.0,2000.0,32,188,2023.0,83,74,80,84
328,A. Cragno,81,83,73,25,23500000.0,32000.0,27,184,2024.0,82,73,80,84
338,Rui Silva,81,84,73,26,25500000.0,24000.0,27,191,2026.0,82,75,83,84
343,O. Vlachodimos,81,83,73,24,23500000.0,14000.0,27,191,2024.0,84,67,78,84
345,J. Musso,81,83,73,24,23500000.0,44000.0,27,191,2025.0,82,73,82,86
352,M. Dúbravka,81,81,73,45,13000000.0,40000.0,32,190,2025.0,79,80,79,82
356,David Soria,81,82,73,33,20500000.0,30000.0,28,192,2022.0,81,72,80,82
363,Álex Remiro,81,84,73,29,26000000.0,31000.0,26,191,2023.0,84,80,84,82
388,G. Buffon,80,80,72,35,2300000.0,18000.0,43,192,2023.0,76,70,90,76
389,G. Ochoa,80,80,72,37,2300000.0,27000.0,35,190,2022.0,79,72,80,83
390,I. Akinfeev,80,80,72,22,2300000.0,26000.0,35,186,2022.0,77,78,82,84
396,S. Mignolet,80,80,72,34,7000000.0,24000.0,33,193,2025.0,80,76,84,82
403,F. Muslera,80,80,72,47,2300000.0,32000.0,35,190,2024.0,78,72,82,79
409,R. Bürki,80,80,72,24,14000000.0,46000.0,30,187,2023.0,81,60,77,86
411,Guaita,80,80,72,33,3600000.0,48000.0,34,190,2023.0,81,77,77,82
417,M. Perin,80,82,72,31,18000000.0,64000.0,28,188,2022.0,80,71,79,82
440,E. Andrada,80,81,72,38,16000000.0,43000.0,30,194,2024.0,76,82,81,83
446,Pacheco,80,82,72,29,17500000.0,25000.0,29,186,2023.0,79,70,81,82
449,T. Strakosha,80,83,72,22,21000000.0,48000.0,26,193,2022.0,82,74,77,84
453,F. Armani,80,80,72,29,3600000.0,17000.0,34,189,2023.0,78,67,79,85
454,W. Benítez,80,82,72,27,18000000.0,32000.0,28,191,2023.0,80,72,80,83
455,G. Rulli,80,80,72,23,14500000.0,31000.0,29,189,2024.0,80,78,79,80
462,Pau López,80,80,72,41,16500000.0,44000.0,26,189,2022.0,80,72,80,82
476,M. Dmitrović,80,81,72,40,16000000.0,26000.0,29,194,2025.0,77,78,80,81
485,Héniton Pires,80,80,72,30,17000000.0,33000.0,25,182,2024.0,81,78,81,79
493,D. Henderson,80,87,71,45,36000000.0,70000.0,24,188,2025.0,80,78,76,83
495,J. Pavlenka,80,82,72,17,17500000.0,14000.0,29,196,2022.0,82,60,71,85
512,B. Costil,79,79,71,33,5500000.0,24000.0,33,187,2022.0,78,77,78,80
