,Name ,player_positions,overall,potential,age,value_eur,wage_eur,club_contract_valid_until,pace,passing,dribbling,defending,attacking_crossing,attacking_short_passing,skill_dribbling,skill_curve,skill_long_passing,movement_acceleration,movement_sprint_speed,defending_marking_awareness,defending_sliding_tackle,defending_standing_tackle,power_stamina,height_cm
16508,Tan Wangsong,"RB, LB",58,58,35,60000.0,2000.0,2021.0,33,56,56,61,54,58,54,49,57,35,32,68,65,60,71,180
15957,D. Webster,"CB, LB, RWB",59,59,31,150000.0,500.0,2021.0,34,49,49,57,53,54,48,22,53,33,34,58,58,57,59,187
15200,H. Al Shuwaysh,"CB, LB",60,60,32,160000.0,3000.0,2023.0,34,45,51,58,48,55,47,30,42,36,33,57,57,60,73,185
7748,B. Godeau,"CB, LB",67,67,29,850000.0,7000.0,2023.0,35,56,51,70,62,62,43,32,63,34,36,70,67,69,71,190
12261,L. Broxham,"CB, CDM, LB",63,63,33,230000.0,2000.0,2022.0,39,52,56,61,48,55,55,52,54,44,34,59,63,63,88,170
6799,N. Paz,"CB, LB",68,70,28,1200000.0,5000.0,2026.0,40,51,54,70,58,56,56,48,54,40,40,70,69,71,61,191
6658,T. Pettersson,"CB, LB",68,68,31,825000.0,2000.0,2022.0,43,56,57,66,46,62,55,54,63,42,44,69,65,61,70,190
9925,A. Acosta,"LB, RB, CM",65,65,33,375000.0,3000.0,2025.0,43,67,68,63,70,66,67,73,67,54,34,64,66,64,67,170
15176,C. McCann,"CM, LB",60,60,33,150000.0,700.0,2021.0,43,63,61,60,65,64,60,66,62,48,39,59,62,60,48,185
7762,Hwang Seok Ho,"CB, LB",67,67,32,650000.0,2000.0,2022.0,43,55,58,66,59,63,61,48,56,33,51,65,64,69,76,183
16018,C. Kelly,"CB, LB",59,69,22,475000.0,500.0,2021.0,44,48,50,58,51,56,52,42,53,39,48,58,58,60,63,191
14518,J. Solberg,"CB, LB",61,61,32,210000.0,800.0,2021.0,44,66,53,59,72,65,50,72,60,46,42,59,64,61,71,191
13535,T. Dallison,"CB, LB",62,67,25,525000.0,2000.0,2022.0,45,45,46,60,35,52,43,29,55,38,50,59,60,61,66,193
2021,V. Manceau,"RB, LB, CB",74,74,31,3100000.0,19000.0,2022.0,45,70,73,75,74,76,72,54,74,54,37,76,74,76,78,176
6440,M. Figueroa,"CB, LB",68,68,38,220000.0,2000.0,2026.0,45,62,57,69,62,64,53,59,63,48,42,66,68,72,61,181
214,D. Blind,"CB, CDM, LB",82,82,31,21000000.0,23000.0,2023.0,45,82,79,83,80,84,77,84,85,48,43,83,80,84,76,180
16518,C. Wiktorsson,"CB, LB",58,58,32,130000.0,650.0,2021.0,46,42,34,57,48,38,27,58,42,39,52,62,51,58,65,182
12753,B. Çağıran,"LB, RB, CDM",63,66,26,575000.0,3000.0,2022.0,46,59,58,65,54,69,54,44,65,36,54,67,63,66,57,176
5939,D. Wouters,"CDM, CM, LB",69,74,24,1900000.0,5000.0,2024.0,47,58,60,67,31,69,60,48,65,49,45,65,67,69,76,191
1580,D. Burn,"CB, LB",75,75,29,4700000.0,46000.0,2023.0,48,63,58,75,67,69,59,48,66,40,55,75,73,77,70,198
13431,A. Golec,"CB, LB",62,62,31,275000.0,950.0,2022.0,48,44,46,62,55,48,43,48,51,45,50,60,62,65,67,191
5952,A. Bardakcı,"CB, LB",69,70,26,1400000.0,8000.0,2022.0,48,47,54,70,60,55,47,28,43,51,45,72,70,74,71,190
16509,Yang Yu,"LB, CM",58,58,36,45000.0,2000.0,2021.0,49,50,57,53,46,61,54,41,50,44,53,41,59,63,70,186
4806,D. Bulthuis,"CB, LB",70,70,31,1100000.0,6000.0,2021.0,49,52,43,69,50,60,35,40,56,45,53,70,68,69,73,192
7834,F. Heerkens,"RB, LB, CB",67,67,31,750000.0,3000.0,2022.0,49,56,58,68,60,64,55,22,60,42,54,69,68,68,77,185
11104,J. Harvey,LB,64,64,37,130000.0,1000.0,2021.0,49,59,59,64,60,65,57,65,55,46,51,63,65,65,65,180
