,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,weak_foot,skill_moves,pace,shooting,passing,dribbling,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_ball_control,movement_acceleration,movement_sprint_speed,power_stamina,mentality_aggression,mentality_positioning,skill_fk_accuracy,movement_agility,mentality_penalties,height_cm
8697,Yeom Ki Hun,"CM, LW, ST",66,66,275000.0,2000.0,38,2021.0,3,3,37,67,75,70,78,64,66,73,66,70,73,42,33,34,54,70,79,57,80,182
9810,Y. Okubo,"ST, CAM, LW",65,65,240000.0,2000.0,39,2022.0,4,3,37,69,63,67,57,69,70,65,69,65,69,36,37,41,58,77,64,66,74,170
4207,J. Hergault,"RB, RWB, LWB",71,71,575000.0,8000.0,35,2022.0,3,3,48,44,67,69,72,40,52,69,28,69,71,44,51,83,62,56,48,71,42,185
7573,D. Čop,"ST, LW",67,67,850000.0,500.0,31,2023.0,3,3,48,69,63,69,54,67,69,67,68,67,72,62,37,65,59,69,67,66,62,184
7511,M. Franco,"ST, LW, CF",67,67,350000.0,500.0,37,2021.0,3,3,49,70,64,67,59,73,68,67,70,61,74,63,37,31,57,70,76,68,74,180
17219,A. Jatta,"ST, LW",57,63,275000.0,2000.0,22,2023.0,2,2,51,55,44,57,36,56,64,52,48,60,60,51,51,51,45,55,35,53,42,192
12326,H. Radetinac,"RW, LW",63,63,200000.0,2000.0,35,2021.0,2,3,51,59,65,66,67,61,45,63,57,68,66,52,51,65,61,64,47,58,50,187
13420,A. Sanaia,"CB, LWB",62,62,275000.0,1000.0,31,2023.0,2,2,52,37,55,55,57,35,60,61,17,49,58,45,57,72,65,43,59,64,48,181
9832,C. Daniels,"LWB, LB",65,65,250000.0,4000.0,34,2022.0,3,3,52,58,65,64,70,50,63,64,52,64,65,53,52,54,64,60,67,61,70,185
903,E. Cardona,"CAM, LW, LM",77,77,10500000.0,19000.0,28,2021.0,4,3,54,78,81,76,79,74,55,82,74,77,83,54,54,61,79,74,85,65,66,183
