,Name ,player_positions,overall,potential,age,value_eur,wage_eur,club_contract_valid_until,pace,passing,dribbling,defending,attacking_crossing,attacking_short_passing,skill_dribbling,skill_curve,skill_long_passing,movement_acceleration,movement_sprint_speed,defending_marking_awareness,defending_sliding_tackle,defending_standing_tackle,power_stamina,height_cm
16508,Tan Wangsong,"RB, LB",58,58,35,60000.0,2000.0,2021.0,33,56,56,61,54,58,54,49,57,35,32,68,65,60,71,180
11082,J. O'Brien,"CB, RB",64,64,35,150000.0,700.0,2021.0,33,57,54,64,60,59,53,63,58,32,33,65,62,64,52,188
8268,F. Aksoy,"CDM, CB, RB",67,75,23,2100000.0,4000.0,2025.0,34,54,60,70,39,68,59,33,59,35,33,70,72,74,71,189
9062,J. Silva,"CB, RB",66,69,26,1000000.0,6000.0,2021.0,35,39,41,68,28,51,29,29,43,34,36,67,67,67,66,190
3131,C. Cathcart,"CB, RB",72,72,32,1500000.0,32000.0,2023.0,35,55,53,74,39,67,47,39,64,34,35,77,72,73,57,190
14521,A. De John,"CB, RB",61,61,30,275000.0,1000.0,2021.0,38,39,39,58,28,55,26,28,35,36,39,56,57,59,51,183
11492,Peixotacinho,"CB, RB",64,64,25,575000.0,3000.0,2024.0,38,44,33,67,43,60,21,16,44,40,36,73,58,72,65,187
9864,N. Vidrio,"CB, RB",65,65,32,475000.0,3000.0,2021.0,40,56,55,66,59,58,49,48,59,33,45,64,68,70,65,182
9409,M. Perg,"CB, RB",66,66,29,725000.0,3000.0,2023.0,40,39,42,66,33,52,32,26,38,52,31,64,65,70,68,185
10287,Diego Alende,"CB, RB",65,74,23,1500000.0,2000.0,2022.0,41,41,46,64,26,60,36,26,40,42,41,63,62,65,58,180
9925,A. Acosta,"LB, RB, CM",65,65,33,375000.0,3000.0,2025.0,43,67,68,63,70,66,67,73,67,54,34,64,66,64,67,170
3848,P. Bardsley,RB,71,71,36,425000.0,14000.0,2022.0,43,65,67,74,70,70,67,66,67,55,34,75,76,75,66,180
7799,Gonçalo Silva,"CB, RB",67,67,30,825000.0,2000.0,2022.0,43,50,49,67,37,63,40,36,65,33,52,67,66,68,72,186
16614,M. Dembélé,"CB, RB",58,69,22,425000.0,2000.0,2022.0,43,41,51,57,33,51,49,27,39,55,34,56,58,59,57,186
9939,J. Rivierez,"CB, RB",65,65,32,475000.0,2000.0,2023.0,43,53,55,64,56,58,52,40,56,55,34,66,63,63,85,182
16998,Zhu Ting,"RB, RM, RW",57,57,35,50000.0,2000.0,2021.0,44,56,60,55,53,62,62,61,57,53,36,54,56,58,46,178
8941,M. Salem,"CB, RB",66,66,35,230000.0,4000.0,2025.0,44,46,48,64,52,54,42,33,38,53,36,64,67,64,80,178
2021,V. Manceau,"RB, LB, CB",74,74,31,3100000.0,19000.0,2022.0,45,70,73,75,74,76,72,54,74,54,37,76,74,76,78,176
11150,M. Inoha,"CB, RB, CM",64,64,35,150000.0,850.0,2022.0,46,58,51,64,47,65,42,40,68,54,39,65,61,64,65,179
12753,B. Çağıran,"LB, RB, CDM",63,66,26,575000.0,3000.0,2022.0,46,59,58,65,54,69,54,44,65,36,54,67,63,66,57,176
1598,Pulido,"CB, RB",75,75,30,4600000.0,12000.0,2022.0,47,53,52,76,50,70,39,52,43,54,41,76,72,76,77,186
11363,Jiang Zhe,"CDM, RB, CM",64,64,32,400000.0,2000.0,2021.0,47,56,60,62,53,68,62,51,63,52,43,60,66,68,77,178
9178,Chris Farminhão,"CB, RB",66,66,25,825000.0,7000.0,2024.0,48,61,53,66,54,66,51,72,62,39,55,81,57,50,34,187
16779,V. Schippers,RB,58,68,20,425000.0,1000.0,2022.0,48,37,53,63,44,34,59,30,32,47,49,58,67,70,62,182
4207,J. Hergault,"RB, RWB, LWB",71,71,35,575000.0,8000.0,2022.0,48,67,69,69,72,69,69,69,63,44,51,68,72,73,83,185
6067,Y. Nogami,"CB, RB",69,69,30,1100000.0,5000.0,2024.0,48,52,63,71,29,70,58,31,67,55,42,71,68,72,74,180
17441,D. Cole,"RB, CB",56,56,29,130000.0,550.0,2021.0,49,52,53,55,49,55,53,48,53,46,52,56,53,57,59,189
