,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,weak_foot,skill_moves,pace,shooting,passing,dribbling,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_ball_control,movement_acceleration,movement_sprint_speed,power_stamina,mentality_aggression,mentality_positioning,skill_fk_accuracy,movement_agility,mentality_penalties,height_cm
2270,Diegildo Ramos,"ST, RM",74,74,4200000.0,35000.0,29,2024.0,3,2,30,79,67,67,62,74,82,68,82,70,74,27,32,50,72,84,76,44,78,185
17437,Yao Hanlin,"CM, RW, RM",56,56,45000.0,1000.0,36,2021.0,4,2,40,57,62,55,63,52,38,64,59,53,56,42,38,35,54,60,62,62,60,175
1465,A. D'Alessandro,"CAM, RM",75,75,2850451.813201148,900.0,40,2021.0,3,4,42,71,80,75,79,69,45,80,68,77,80,45,39,30,75,73,80,51,80,174
16998,Zhu Ting,"RB, RM, RW",57,57,50000.0,2000.0,35,2021.0,3,2,44,49,56,60,53,46,54,62,50,62,63,53,36,46,58,59,45,34,50,178
12588,Fachendinho,"ST, RM",63,63,475000.0,6000.0,29,2024.0,3,3,44,66,53,63,59,70,63,61,57,63,65,46,43,69,53,62,50,58,65,181
4719,G. Hairemans,"RM, CAM, CM",70,70,1600000.0,9000.0,29,2022.0,2,3,45,68,75,70,76,61,38,74,62,70,74,50,41,73,61,71,73,61,71,183
3842,A. Turan,"LM, RM, CM",71,71,875000.0,31000.0,34,2022.0,4,3,46,71,75,76,72,68,65,78,75,77,79,52,41,48,76,70,64,71,73,177
8764,Y. Endo,"RM, ST",66,66,525000.0,3000.0,33,2022.0,2,3,47,61,68,69,73,64,61,65,47,66,69,39,53,71,59,67,72,75,54,168
10107,S. Coopman,"CAM, RM, CM",65,68,925000.0,6000.0,26,2022.0,3,3,47,59,68,68,68,59,54,71,70,69,68,46,47,50,38,64,53,68,52,183
4748,Josué,"CAM, RM",70,70,1500000.0,6000.0,30,2023.0,2,4,49,71,73,70,72,68,57,71,67,70,73,48,49,53,85,68,73,62,71,174
12620,T. Umesaki,"CF, LM, RM",63,63,230000.0,1000.0,34,2023.0,4,3,49,65,63,67,58,62,47,65,66,66,68,61,40,75,41,63,64,66,69,169
8739,F. Sammaritano,"LM, CAM, RM",66,66,350000.0,1000.0,35,2022.0,4,3,50,61,70,70,61,60,39,72,66,69,70,64,39,48,57,70,70,70,64,162
1188,P. Groß,"CM, RM, CAM",76,76,7000000.0,51000.0,30,2022.0,4,4,50,74,80,75,82,72,53,80,65,76,77,55,45,79,69,75,77,66,70,181
7598,A. Gonçalves,"CM, RM",67,67,400000.0,2000.0,35,2022.0,4,2,50,48,65,66,57,40,36,71,30,64,66,43,55,88,84,65,65,69,60,178
10386,H. Jogo,"RM, RW",65,65,300000.0,1000.0,35,2022.0,3,3,51,66,60,66,58,67,60,64,62,66,63,56,47,83,54,72,50,73,64,183
8669,W. Hoolahan,"CAM, RM, LM",66,66,275000.0,2000.0,39,2022.0,3,3,51,65,68,69,69,64,46,68,61,66,67,53,49,34,39,64,66,76,70,168
12246,C. Ben Saada,"RM, CAM, LM",63,63,160000.0,1000.0,37,2022.0,4,3,53,62,65,66,69,59,61,67,62,67,65,57,49,43,54,59,64,63,62,176
6436,O. Kaya,"RM, CAM, LM",68,68,500000.0,5000.0,35,2022.0,3,3,54,65,73,68,75,61,35,70,71,66,67,62,48,56,41,78,75,73,70,167
2887,Marcos Paneira,"CDM, CM, RM",73,73,3200000.0,8000.0,21,2024.0,3,2,54,57,67,68,61,59,72,73,41,71,66,59,50,71,68,41,43,62,51,182
11349,Z. Kvržić,"RB, CAM, RM",64,64,400000.0,3000.0,32,2022.0,3,2,54,43,62,64,60,33,55,67,41,65,64,45,62,55,49,63,35,56,49,180
