,Name ,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,club_contract_valid_until,weak_foot,pace,shooting,physic,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_strength,mentality_positioning,mentality_penalties,height_cm
11160,G. Madrigal,ST,64,64,600000.0,3000.0,28,191,2024.0,3,28,64,75,68,73,65,49,43,67,30,27,32,62,30,69,70,91,70,63,191
9805,J. Bothroyd,ST,65,65,240000.0,1000.0,39,190,2022.0,2,29,65,68,64,77,63,61,64,68,30,29,31,55,31,71,51,90,74,65,190
16209,K. Miura,ST,59,59,2850451.813201148,700.0,54,177,2022.0,4,30,63,46,66,56,61,62,54,68,29,30,29,46,67,59,32,56,71,59,177
2270,Diegildo Ramos,"ST, RM",74,74,4200000.0,35000.0,29,185,2024.0,3,30,79,70,74,82,68,82,76,74,27,32,44,75,30,88,34,82,84,78,185
6765,T. Figueroa,ST,68,68,1200000.0,2000.0,29,191,2021.0,2,31,70,77,73,78,62,58,34,67,29,33,31,68,29,72,45,91,73,71,191
11063,R. König,ST,64,64,200000.0,700.0,38,190,2022.0,4,31,69,75,72,76,46,57,43,62,30,31,34,66,38,71,39,93,71,60,190
8745,A. Nuhiu,ST,66,66,725000.0,5000.0,31,197,2023.0,4,32,66,78,66,77,68,65,39,70,32,32,46,64,36,68,34,91,68,72,197
2537,G. Charbonnier,"ST, CAM",73,73,2500000.0,7000.0,32,188,2023.0,3,32,75,66,76,77,74,71,59,79,30,33,49,76,50,76,51,81,79,72,188
5486,C. Wondolowski,ST,69,69,475000.0,4000.0,38,183,2021.0,4,32,72,74,77,73,64,70,52,65,31,33,60,82,76,72,62,73,83,71,183
5484,Xisco,ST,69,69,600000.0,5000.0,35,188,2022.0,3,32,73,80,77,79,59,71,58,70,31,32,53,68,60,70,75,90,80,76,188
3829,R. Santa Cruz,ST,71,71,650000.0,700.0,39,189,2021.0,3,33,73,61,76,81,69,77,52,75,31,35,30,77,28,76,32,77,80,75,189
3892,Á. Szalai,ST,71,71,1200000.0,17000.0,33,193,2022.0,3,33,72,77,73,81,67,70,42,70,34,33,34,74,54,80,43,91,76,75,193
7686,M. Smith,ST,67,67,825000.0,6000.0,32,198,2022.0,3,33,68,79,69,87,53,68,35,68,31,34,34,71,28,75,60,93,75,62,198
